Producto,Rating,Precio,Existencia,Enlaces
"Laptop Gamer Dell G5 5511 15.6"" Full HD, Intel Core i5-11260H 2.60GHz, 8GB, 512GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Home 64-bit, Español, Gris (2021) ― Garantía Limitada por 1 Año",4,"$17,799.00",Disponibles:21pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Gamer-Dell-G5-5511-15-6-Full-HD-Intel-Core-i5-11260H-2-60GHz-8GB-512GB-SSD-NVIDIA-GeForce-RTX-3050-Windows-11-Home-64-bit-Espanol-Gris-2021.html
"Workstation HP Power G9 15.6"" Full HD, Intel Core i9-12900HK 2.50GHz, 16GB, 1TB SSD, NVIDIA RTX A2000, Windows 11 Pro 64-bit, Español, Gris ― Incluye 3 Años de Garantía  (Partes, Mano de Obra, Atención en Sitio) + Active Care (Monitoreo Predictivo de",4,"$65,129.00","Disponibles:
¡1pza.!",#
"Laptop Dell Latitude 7430 14"" Full HD, Intel Core i7-1255U 3.50GHz, 16GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Negro (2022) ― Garantía Limitada por 1 Año",4,"$28,029.00","Disponibles:
¡1pza.!",https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop HP EliteBook 840 G10 14"" Full HD, Intel Core i7-1355U 3.70GHz, 16GB, 1TB SSD, Windows 11 Pro 64-bit, Español, Plata",4,"$28,759.00",Disponibles:54pzas.,#
"Laptop Dell Inspiron 3505 15.6"" HD, AMD Ryzen 7 3700U 2.30GHz, 8GB, 512GB SSD, Windows 10 Home 64-bit, Español, Plata ― Garantía Limitada por 1 Año",4,"$23,839.00",Disponibles:3pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Dell-Inspiron-3505-15-6-HD-AMD-Ryzen-7-3700U-2-30GHz-8GB-512GB-SSD-Windows-10-Home-64-bit-Espanol-Plata.html
"Laptop Dell Latitude 3410 14"" Full HD, Intel Core i5-10210U 1.60GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Negro ― Garantía Limitada por 1 Año",4,"$19,999.00",Disponibles:3pzas.,#
"Laptop Dell Precision Móvil 7560 15.6"" Full HD, Intel Core i7-11850H 2.30GHz, 32GB, 512GB SSD, NVIDIA Quadro T1000, Windows 10 Pro 64-bit, Español, Gris (2021) ― Garantía Limitada por 1 Año",4,"$51,199.00",Disponibles:6pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop Dell Latitude 7430 14"" Full HD, Intel Core i7-1255U 3.50GHz, 16GB, 256GB SSD, Windows 10 Pro 64-bit, Inglés, Negro ― Garantía Limitada por 1 Año",4,"$33,439.00",Disponibles:5pzas.,#
"Laptop ASUS Chromebook C204EE 11.6"" HD, Intel Celeron N4020 1.10GHz, 4GB, 32GB eMMC, Chrome OS, Español, Gris",4,"$7,079.00","Disponibles:
¡1pza.!",https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-ASUS-Chromebook-C204EE-11-6-HD-Intel-Celeron-N4020-1-10GHz-4GB-32GB-eMMC-Chrome-OS-Espanol-Gris.html
"Laptop Gamer Lenovo IdeaPad Gaming 3 15ACH6 15.6"" Full HD, AMD Ryzen 5 5600H 3.30GHz, 16GB, 1TB + 256GB SSD, NVIDIA GeForce RTX 3050 Ti, Windows 11 Home 64-bit, Inglés, Negro ― Configuración Especial, 1 Año de Garantía",4,"$19,749.00",Disponibles:24pzas.,https://www.cyberpuerta.mx/Opiniones-sobre-Laptop-ASUS-Chromebook-C204EE-11-6-HD-Intel-Celeron-N4020-1-10GHz-4GB-32GB-eMMC-Chrome-OS-Espanol-Gris/
"Laptop Lenovo ThinkPad X13 G3 13.3"" WUXGA, Intel Core i7-1260P 3.40GHz, 16GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Negro",4,"$27,429.00",Disponibles:2pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Lenovo-ThinkPad-X13-G3-13-3-WUXGA-Intel-Core-i7-1260P-3-40GHz-16GB-256GB-SSD-Windows-10-Pro-64-bit-Espanol-Negro.html
"Laptop Dell Latitude 3520 15,6"" HD, Intel Core i5-1135G7 2.40GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Gris",4,"$19,139.00",Disponibles:67pzas.,#
"Laptop Lenovo ThinkPad T14 Gen 2 14"" Full HD, Intel Core i5-1135G7 2.40GHz, 16GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Negro",4,"$22,859.00",Disponibles:33pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop HP 240 G8 79L97LT 14"" HD, Intel Core i5-1135G7 2.40GHz, 8GB, 256GB SSD, Windows 11 Home 64-bit, Español, Negro",4,"$9,189.00",Disponibles:137pzas.,#
"Laptop HP 245 G9 14"" HD, AMD Ryzen 5 5625U 2.30GHz, 8GB, 512GB SSD, Windows 11 Home 64-bit, Español, Plata",3,"$11,349.00","Disponibles:
¡1pza.!",https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-HP-245-G9-14-HD-AMD-Ryzen-5-5625U-2-30GHz-8GB-512GB-SSD-Windows-11-Home-64-bit-Espanol-Plata.html
"Laptop Dell Latitude 5430 14” Full HD, Intel Core i5-1235U 3.30GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Gris (2022) ― Garantía Limitada por 1 Año",3,"$27,149.00",Disponibles:40pzas.,#
"Laptop HP EliteBook 845 G9 14"" Full HD, AMD Ryzen 7 PRO 6850U 2.70GHz, 8GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Plata",3,"$25,859.00",Disponibles:2pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-HP-EliteBook-845-G9-14-Full-HD-AMD-Ryzen-7-PRO-6850U-2-70GHz-8GB-512GB-SSD-Windows-11-Pro-64-bit-Espanol-Plata.html
"Apple MacBook Pro Retina MNEQ3E/A 13”, Apple M2, 8GB, 512GB SSD, Plata (Julio 2022)",3,"$32,469.00",Disponibles:32pzas.,#
"Laptop HP ProBook 640 G8 14"" HD, Intel Core i5-1145G7 2.60GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Plata",3,"$22,029.00",Disponibles:48pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-HP-ProBook-640-G8-14-HD-Intel-Core-i5-1145G7-2-60GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit-Espanol-Plata.html
"Laptop Lenovo ThinkPad L14 G1 14"" HD, AMD Ryzen 3 4300U 2.70GHz, 8GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Negro",3,"$20,929.00",Disponibles:8pzas.,#
"Laptop Lenovo V14-ITL G2 14"" HD, Intel Core i7-1165G7 2.80GHz, 16GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Gris",3,"$21,049.00",Disponibles:12pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Lenovo-V14-ITL-G2-14-HD-Intel-Core-i7-1165G7-2-80GHz-16GB-512GB-SSD-Windows-10-Pro-64-bit-Espanol-Gris.html
"Laptop Lenovo IdeaPad 3 15ITL05 15.6"" HD, Intel Core i3-1115G4 3GHz, 8GB, 256GB SSD, Windows 10 Home, Inglés, Arena",3,"$9,089.00",Disponibles:6pzas.,#
"Laptop Dell Latitude 5420 14"" Full HD, Intel Core i7-1165G7 2.80GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Gris",3,"$25,329.00",Disponibles:46pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Dell-Latitude-5420-14-Full-HD-Intel-Core-i7-1165G7-2-80GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit-Espanol-Gris-cp2-1.html
"Laptop Lanix Neuron A V19 10650 14"" HD, Intel Pentium J3710 1.60GHz, 8GB, 512GB SSD, Windows 10 Home 64-bits, Español, Negro/Gris",3,"$4,909.00",Disponibles:1825pzas.,#
"Laptop Acer TravelMate P6 TMP614-51-G2-50ND 14"" HD, Intel Core i5-10210U 1.60GHz, 8GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Negro",3,"$18,039.00",Disponibles:3pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Acer-TravelMate-P6-TMP614-51-G2-50ND-14-HD-Intel-Core-i5-10210U-1-60GHz-8GB-512GB-SSD-Windows-10-Pro-64-bit-Espanol-Negro.html
"Laptop Lenovo IdeaPad Slim 1-14AST-05 14"" HD, AMD A6-9220e 1.60GHz, 4GB, 64GB, Windows 10 Home S, Inglés, Plata",3,"$7,699.00",Disponibles:3pzas.,#
